channel,market,impressions,clicks,ctr_pct,conversions,conversion_rate_pct,spend_usd,revenue_usd,roas,new_customers,returning_customers
facebook,TW,2850000,42750,1.50,1283,3.00,15000,89000,5.93,385,898
facebook,HK,980000,13720,1.40,412,3.00,5000,28500,5.70,124,288
facebook,SG,1200000,18000,1.50,450,2.50,8000,36000,4.50,180,270
instagram,TW,1950000,29250,1.50,878,3.00,12000,61000,5.08,264,614
instagram,SG,850000,11050,1.30,276,2.50,6000,22000,3.67,110,166
google,TW,3200000,96000,3.00,2880,3.00,25000,172800,6.91,864,2016
google,HK,1100000,33000,3.00,825,2.50,8000,49500,6.19,248,577
google,SG,1500000,45000,3.00,1125,2.50,12000,67500,5.63,338,787
line,TW,800000,16000,2.00,640,4.00,5000,44800,8.96,128,512
edm,TW,500000,15000,3.00,750,5.00,500,52500,105.00,75,675
edm,SG,200000,5000,2.50,225,4.50,200,15750,78.75,34,191
tiktok,TW,1800000,18000,1.00,270,1.50,8000,16200,2.03,162,108
youtube,TW,1200000,9600,0.80,192,2.00,10000,13440,1.34,58,134
