campaign_name,channel,medium,start_date,end_date,target_market,landing_page,budget_usd,responsible
櫻花季早鳥預購,facebook,paid_social,2026-03-15,2026-04-15,TW,https://www.kkday.com/zh-tw/campaign/sakura2026,5000,Celine
櫻花季早鳥預購,instagram,paid_social,2026-03-15,2026-04-15,TW,https://www.kkday.com/zh-tw/campaign/sakura2026,3000,Celine
櫻花季早鳥預購,line,message,2026-03-20,2026-04-10,TW,https://www.kkday.com/zh-tw/campaign/sakura2026,2000,Daniel
櫻花季早鳥預購,edm,email,2026-03-18,2026-04-15,TW,https://www.kkday.com/zh-tw/campaign/sakura2026,0,YZ
Summer Fun SEA,facebook,paid_social,2026-05-15,2026-08-31,SG,https://www.kkday.com/en-sg/campaign/summer2026,8000,Yoshita
Summer Fun SEA,instagram,paid_social,2026-05-15,2026-08-31,SG,https://www.kkday.com/en-sg/campaign/summer2026,6000,Yoshita
Summer Fun SEA,google,paid_search,2026-05-15,2026-08-31,SG,https://www.kkday.com/en-sg/campaign/summer2026,10000,Yoshita
Summer Fun SEA,tiktok,paid_social,2026-06-01,2026-08-31,SG,https://www.kkday.com/en-sg/campaign/summer2026,4000,Yoshita
母親節感恩企劃,facebook,paid_social,2026-04-28,2026-05-14,TW,https://www.kkday.com/zh-tw/campaign/mothers2026,3000,Daniel
母親節感恩企劃,instagram,paid_social,2026-04-28,2026-05-14,TW,https://www.kkday.com/zh-tw/campaign/mothers2026,2000,Daniel
母親節感恩企劃,line,message,2026-05-01,2026-05-14,TW,https://www.kkday.com/zh-tw/campaign/mothers2026,1500,Daniel
母親節感恩企劃,edm,email,2026-04-30,2026-05-14,TW,https://www.kkday.com/zh-tw/campaign/mothers2026,0,YZ
韓國美食節,facebook,paid_social,2026-06-01,2026-06-30,TW,https://www.kkday.com/zh-tw/campaign/krfood2026,4000,Celine
韓國美食節,instagram,paid_social,2026-06-01,2026-06-30,TW,https://www.kkday.com/zh-tw/campaign/krfood2026,3000,Celine
韓國美食節,youtube,paid_video,2026-06-01,2026-06-30,TW,https://www.kkday.com/zh-tw/campaign/krfood2026,5000,Celine
Hong Kong Weekend,facebook,paid_social,2026-04-01,2026-06-30,HK,https://www.kkday.com/zh-hk/campaign/hkweekend,3000,Daniel
Hong Kong Weekend,google,paid_search,2026-04-01,2026-06-30,HK,https://www.kkday.com/zh-hk/campaign/hkweekend,5000,Daniel
Family Adventure,facebook,paid_social,2026-04-01,2026-06-30,TW,https://www.kkday.com/zh-tw/campaign/family2026,4000,YZ
Family Adventure,line,message,2026-04-05,2026-06-30,TW,https://www.kkday.com/zh-tw/campaign/family2026,2000,YZ
Family Adventure,edm,email,2026-04-01,2026-06-30,TW,https://www.kkday.com/zh-tw/campaign/family2026,0,YZ
